From,Until,Predictions,Description
2026-01-01,2026-01-03,high,Liburan
2026-01-04,2026-01-14,Low,
2026-01-15,2026-01-17,high,Long Weekend Isra Mikraj
2026-01-18,2026-01-19,low,
2026-01-20,2026-01-23,pick-up,Wisuda Pascasarjana (22)
2026-01-24,2026-02-12,low,
2026-02-13,2026-02-17,high,Long Weekend Imlek
2026-02-18,2026-02-19,low,
2026-02-20,2026-02-22,pick-up,Wisuda Pascasarjana (22)
2026-02-23,2026-03-17,low,
2026-03-18,2026-03-22,pick-up,Nyepi + Lebaran (21-22)
2026-03-23,2026-03-24,high,H+2 Lebaran
2026-03-25,2026-03-26,pick-up,potensi cuti lebaran
2026-03-27,2026-04-02,low,
2026-04-03,2026-04-05,high,Long Weekend Paskah
2026-04-06,2026-04-19,low,
2026-04-20,2026-04-25,pick-up,Wisuda Pascasarjana (22-23)
2026-04-26,2026-04-30,low,
2026-05-01,2026-05-02,high,Long Weekend Buruh
2026-05-03,2026-05-13,low,
2026-05-14,2026-05-16,high,Long Weekend Kenaikan Yesus Kristus
2026-05-17,2026-05-27,low,
2026-05-28,2026-06-01,high,Idul Adha + Waisak + Hari Lahir Pancasila
2026-06-02,2026-06-05,pick-up,Wisuda UGM (potential 4-5 due to Idul Adha)
2026-06-06,2026-06-12,low,
2026-06-13,2026-06-16,pick-up,Muharram
2026-06-17,2026-06-18,pick-up,Pra School Holiday
2026-06-19,2026-07-12,high,School Holiday
2026-07-13,2026-07-18,pick-up,Sisa School Holiday
2026-07-19,2026-07-19,low,
2026-07-20,2026-07-23,pick-up,Wisuda Pascasarjana (22-23)
2026-07-24,2026-08-21,low,
2026-08-22,2026-08-26,pick-up,Maulid Nabi Muhammad S.A.W.
2026-08-26,2026-08-30,pick-up,Wisuda UGM (26-27)
2026-08-31,2026-10-17,low,
2026-10-18,2026-10-20,pick-up,Wisuda UGM (20-21)
2026-10-23,2026-12-17,low,
2026-12-18,2026-12-31,high,School Holiday